2004/01,43.02
2004/02,42.96
2004/03,43.08
2004/04,43.15
2004/05,43.27
2004/06,43.38
2004/07,43.54
2004/08,43.56
2004/09,43.34
2004/10,43.53
2004/11,43.66
2004/12,43.72
2005/01,43.77
2005/02,43.64
2005/03,43.65
2005/04,43.74
2005/05,43.81
2005/06,43.81
2005/07,43.89
2005/08,44.01
2005/09,43.9
2005/10,44.08
2005/11,44.2
2005/12,44.24
2006/01,44.23
2006/02,44.07
2006/03,44.16
2006/04,44.24
2006/05,44.29
2006/06,44.31
2006/07,44.57
2006/08,44.71
2006/09,44.63
2006/10,44.73
2006/11,44.81
2006/12,44.88
2007/01,44.92
2007/02,44.94
2007/03,44.94
2007/04,44.94
2007/05,44.99
2007/06,44.98
2007/07,45.22
2007/08,45.35
2007/09,45.15
2007/10,45.18
2007/11,45.28
2007/12,45.4
2008/01,45.43
2008/02,45.23
2008/03,45.36
2008/04,45.41
2008/05,45.48
2008/06,45.47
2008/07,45.56
2008/08,45.67
2008/09,45.41
2008/10,45.48
2008/11,45.39
2008/12,45.13
2009/01,44.89
2009/02,44.54
2009/03,44.51
2009/04,44.53
2009/05,44.6
2009/06,44.6
2009/07,44.65
2009/08,44.76
2009/09,44.72
2009/10,44.83
2009/11,45.07
2009/12,45.12
2010/01,45.13
2010/02,45.06
2010/03,45.09
2010/04,45.22
2010/05,45.41
2010/06,45.51
2010/07,45.74
2010/08,45.88
2010/09,45.71
2010/10,45.82
2010/11,46.01
2010/12,46.04
2011/01,46.07
2011/02,45.98
2011/03,46.1
2011/04,46.17
2011/05,46.26
2011/06,46.36
2011/07,46.59
2011/08,46.71
2011/09,46.56
2011/10,46.62
2011/11,46.7
2011/12,46.74
2012/01,46.76
2012/02,46.67
2012/03,46.73
2012/04,46.78
2012/05,46.83
2012/06,46.9
2012/07,47.01
2012/08,47.08
2012/09,46.97
2012/10,47.03
2012/11,47.1
2012/12,47.13
2013/01,47.14
2013/02,47.04
2013/03,47.06
2013/04,47.09
2013/05,47.13
2013/06,47.2
2013/07,47.3
2013/08,47.37
2013/09,47.28
2013/10,47.33
2013/11,47.42
2013/12,47.46
2014/01,47.48
2014/02,47.4
2014/03,47.44
2014/04,47.49
2014/05,47.54
2014/06,47.57
2014/07,47.68
2014/08,47.75
2014/09,47.69
2014/10,47.77
2014/11,47.83
